iter	Logloss
307	0.1986113548
308	0.1984261131
309	0.1981026459
310	0.1979518127
311	0.1977474976
312	0.1975400925
313	0.1973170853
314	0.1970864868
315	0.1969874954
316	0.1967848015
317	0.1966000366
318	0.1963483238
319	0.1960483932
320	0.1958896255
321	0.1957959747
322	0.1956518173
323	0.1954534531
324	0.1953276443
325	0.1951327515
326	0.1949062729
327	0.1946980286
328	0.1944361115
329	0.1942703056
330	0.1941352081
331	0.1939118004
332	0.1937379837
333	0.19352211
334	0.193265686
335	0.1931034851
336	0.1929439163
337	0.1926804352
338	0.1926634407
339	0.1925108719
340	0.1924190903
341	0.1921079445
342	0.1918216324
343	0.1917517471
344	0.191492424
345	0.1913617325
346	0.191145134
347	0.1909708595
348	0.1907091141
349	0.1905005836
350	0.1903997612
351	0.1903468704
352	0.1901571274
353	0.190056572
354	0.1898488045
355	0.1897304916
356	0.1896119881
357	0.1894198418
358	0.1891725922
359	0.1890361214
360	0.1888978577
361	0.1888019371
362	0.188662796
363	0.1884033775
364	0.1881043243
365	0.1879845238
366	0.1877508926
367	0.1875852585
368	0.1874067688
369	0.1872948837
370	0.1870507431
371	0.1867908859
372	0.1865991592
373	0.1863220215
374	0.1862110519
375	0.186146946
376	0.1859114456
377	0.1857621002
378	0.1856019783
379	0.1854104996
380	0.185336113
381	0.1851449585
382	0.1849931335
383	0.184929657
384	0.1847673988
385	0.1846152306
386	0.1845289803
387	0.1842711258
388	0.1841109276
389	0.1839937973
390	0.1838658142
391	0.1836882782
392	0.1835172653
393	0.1833765793
394	0.1832161903
395	0.1829666519
396	0.1828285217
397	0.1826401329
398	0.1825089073
399	0.1823803329
400	0.1821738434
401	0.1821022034
402	0.1818524742
403	0.1817303467
404	0.1815701675
405	0.1814347649
406	0.1813549614
407	0.1812758636
408	0.1811046219
409	0.1809035683
410	0.1806612968
411	0.1804536057
412	0.1803112411
413	0.1801653862
414	0.1799718857
415	0.179772644
416	0.1795979118
417	0.1793544769
418	0.1792486572
419	0.1791033554
420	0.1790033722
421	0.1788142204
422	0.1786195755
423	0.1784614372
424	0.1784100723
425	0.1783494759
426	0.1782543564
427	0.1781522179
428	0.1779384804
429	0.1777393723
430	0.1776000977
431	0.1774798393
432	0.1773466492
433	0.1771614838
434	0.17698452
435	0.1768384933
436	0.176779747
437	0.176648922
438	0.1764955521
439	0.1763924026
440	0.1762229347
441	0.1761597824
442	0.1760675812
443	0.1759193039
444	0.1757388496
445	0.1756482124
446	0.1755660248
447	0.1753904724
448	0.1753090286
449	0.1752074051
450	0.1751596832
451	0.1750662422
452	0.1749756241
453	0.174840126
454	0.1747069168
455	0.1745415688
456	0.1744649506
457	0.1742789459
458	0.1741406059
459	0.174046936
460	0.1738700104
461	0.1736608124
462	0.1735477448
463	0.1733884811
464	0.1732890892
465	0.1732064247
466	0.1730957794
467	0.1729574203
468	0.1727858353
469	0.1727184677
470	0.1725231934
471	0.1723882675
472	0.1723478127
473	0.1722589493
474	0.1722510147
475	0.1720637321
476	0.1719428825
477	0.1717983627
478	0.1716824722
479	0.1715545464
480	0.1714227295
481	0.1713058662
482	0.1710845947
483	0.1710056305
484	0.1708831787
485	0.1707536697
486	0.170672226
487	0.1706073761
488	0.1705157852
489	0.1703183746
490	0.1701640892
491	0.1699979019
492	0.1698884392
493	0.1698396301
494	0.1697290421
495	0.1695714378
496	0.1694686508
497	0.1693682861
498	0.1691901398
499	0.1690875244
500	0.1689499283
501	0.1687699509
502	0.1687358093
503	0.1686533356
504	0.1684298325
505	0.1684030151
506	0.1683581543
507	0.1682760811
508	0.1681866837
509	0.1680420494
510	0.1679652405
511	0.1677354431
512	0.1675933838
513	0.1674084282
514	0.1671642685
515	0.1669600677
516	0.1668423653
517	0.1667412186
518	0.1666068268
519	0.1665717316
520	0.1665022659
521	0.1663279343
522	0.1662656403
523	0.1661488724
524	0.1659432983
525	0.1658688354
526	0.1657643127
527	0.1656529236
528	0.1655783463
529	0.1655027008
530	0.1652993011
531	0.1652253723
532	0.1650834084
533	0.164940567
534	0.1646725655
535	0.164522171
536	0.1643534088
537	0.1642258453
538	0.1641300583
539	0.1639792252
540	0.1639115906
541	0.1638293076
542	0.1636974716
543	0.1635533142
544	0.1633177948
545	0.1632269096
546	0.1630585098
547	0.1629785728
548	0.1628528976
549	0.1627913284
550	0.1627432632
551	0.1626257324
552	0.1625677872
553	0.1624521637
554	0.1623745728
555	0.1622621918
556	0.1621595383
557	0.1621397781
558	0.1620151711
559	0.1618790245
560	0.1618184662
561	0.1616249275
562	0.1615444374
563	0.161472702
564	0.1613637161
565	0.1611565208
566	0.1610028267
567	0.1608491516
568	0.1607166672
569	0.1605539513
570	0.1604594994
571	0.1603619194
572	0.1601618958
573	0.1600652122
574	0.1599460793
575	0.1598317909
576	0.1596283913
577	0.1594895554
578	0.1594093323
579	0.1592416191
580	0.1591815281
581	0.1591196537
582	0.1590455818
583	0.159028101
584	0.1588434601
585	0.1587112522
586	0.1585957909
587	0.1585096931
588	0.1583256721
589	0.1581368351
590	0.1580067539
591	0.1579391193
592	0.1578682709
593	0.1577151394
594	0.1576303577
595	0.1575585556
596	0.1574207306
597	0.1572374344
598	0.1572010326
599	0.1570902538
600	0.1570165825
601	0.1569244766
602	0.156790657
603	0.1566744518
604	0.1565183544
605	0.1564028835
606	0.1563280487
607	0.1562544632
608	0.1561709213
609	0.1560131454
610	0.1559460735
611	0.1558587074
612	0.1558075333
613	0.1556822681
614	0.1555655766
615	0.155513649
616	0.1553959084
617	0.1552245903
618	0.1551928139
619	0.1551092052
620	0.1550247383
621	0.1549023533
622	0.1547799492
623	0.1546261597
624	0.1545320225
625	0.1544381332
626	0.1542267036
627	0.1540775871
628	0.1539941788
629	0.1538444901
630	0.1537681007
631	0.1537023354
632	0.1536108017
633	0.153473711
634	0.1533780098
635	0.1532916069
636	0.1532162094
637	0.1531276703
638	0.152967453
639	0.1528951359
640	0.1528055096
641	0.1527359009
642	0.1525679016
643	0.1524623489
644	0.1523779011
645	0.1522224903
646	0.1521674538
647	0.1520662594
648	0.1518068314
649	0.1516952896
650	0.1516161537
651	0.1515404701
652	0.1514390182
653	0.1513875866
654	0.1512305069
655	0.1511778259
656	0.1510481453
657	0.1508654976
658	0.1507963467
659	0.150703392
660	0.1506680489
661	0.1505922413
662	0.1504767799
663	0.1503041744
664	0.1501713181
665	0.1500289536
666	0.1499487877
667	0.1498435783
668	0.149796896
669	0.149703846
670	0.1495285416
671	0.1494509792
672	0.1493973827
673	0.1492676258
674	0.1491984558
675	0.1490982437
676	0.1489799309
677	0.1488823986
678	0.148740921
679	0.148688736
680	0.1485547256
681	0.1484532261
682	0.1482868004
683	0.1482403564
684	0.1481517601
685	0.1480590153
686	0.1479514885
687	0.1478402138
688	0.1477516842
689	0.1476512909
690	0.1475748634
691	0.1475295448
692	0.1474067974
693	0.1472709656
694	0.1472203827
695	0.1471516895
696	0.1469629478
697	0.146886282
698	0.1467676163
699	0.1467042542
700	0.1465449905
701	0.1464647484
702	0.1462969971
703	0.1462007713
704	0.1460411835
705	0.1459224606
706	0.1458319283
707	0.1457927799
708	0.1457475758
709	0.1457000351
710	0.1456089401
711	0.1455419731
712	0.1453872013
713	0.1453600883
714	0.1452646255
715	0.1452147484
716	0.1450322914
717	0.1448655128
718	0.1447348595
719	0.1446667004
720	0.1444770241
721	0.1444031906
722	0.1443244743
723	0.1441581821
724	0.1440386391
725	0.1439978313
726	0.1438755226
727	0.1437909317
728	0.1436800194
729	0.1436398983
730	0.1435213947
731	0.1434242344
732	0.1432902431
733	0.1431490421
734	0.1430651283
735	0.1429587173
736	0.1428948307
737	0.1428786278
738	0.1427704239
739	0.1427133656
740	0.1426474094
741	0.1425850582
742	0.1424422455
743	0.1424031734
744	0.142348032
745	0.1422906399
746	0.1422185135
747	0.1421020126
748	0.1419140339
749	0.1419048405
750	0.1417776585
751	0.1416824532
752	0.1416203785
753	0.1415171051
754	0.1414673996
755	0.141404953
756	0.1413468075
757	0.1412656975
758	0.1412097168
759	0.1411080933
760	0.1410334682
761	0.1409080124
762	0.1408169746
763	0.1407108498
764	0.1406598854
765	0.1406010056
766	0.1404437637
767	0.1403318501
768	0.1401833725
769	0.140123167
770	0.1400571918
771	0.1399543762
772	0.1398854637
773	0.1397629547
774	0.1396571445
775	0.1395564842
776	0.1394884109
777	0.1393735504
778	0.1393440437
779	0.1391919899
780	0.1390649033
781	0.1389637375
782	0.1388973141
783	0.1387918663
784	0.1387013721
785	0.138656683
786	0.1385623741
787	0.1384700203
788	0.1384129715
789	0.1383562565
790	0.1383143425
791	0.1381546974
792	0.1380550671
793	0.1380114174
794	0.1379679489
795	0.1378906822
796	0.1378483582
797	0.1377796555
798	0.1377458477
799	0.1376724815
800	0.1375970459
801	0.1374856663
802	0.1373936653
803	0.1373390961
804	0.1372485161
805	0.1371433258
806	0.1370968246
807	0.137064352
808	0.1370329094
809	0.1369026947
810	0.1368192577
811	0.1367172432
812	0.1366818714
813	0.1366237164
814	0.1364997387
815	0.1364641666
816	0.1364437199
817	0.136304245
818	0.1362464142
819	0.1361511993
820	0.1360286617
821	0.1359819984
822	0.1359200287
823	0.135820055
824	0.135759964
825	0.1357269096
826	0.1357067013
827	0.1356123924
828	0.1355371475
829	0.1354509163
830	0.1353904915
831	0.1353756332
832	0.1353444386
833	0.1352768517
834	0.1352310181
835	0.1351709175
836	0.1351220417
837	0.1350606251
838	0.1349018097
839	0.1347986221
840	0.1346617317
841	0.1345875168
842	0.1345493984
843	0.1344897079
844	0.1344552612
845	0.1343871021
846	0.1343532085
847	0.1343288612
848	0.1342919254
849	0.1342461205
850	0.1341779232
851	0.1340268803
852	0.133914032
853	0.1338248348
854	0.1337823582
855	0.1336994553
856	0.1336563873
857	0.1335853958
858	0.1334514523
859	0.1334048462
860	0.1333131599
861	0.1332622528
862	0.1331827736
863	0.1331575584
864	0.1331124306
865	0.1330383205
866	0.1329900169
867	0.1329436111
868	0.1328390312
869	0.1328066063
870	0.1327288437
871	0.1326942539
872	0.1326364994
873	0.1325619221
874	0.1324925041
875	0.1324579048
876	0.1324437904
877	0.1324313354
878	0.1323820019
879	0.1323471642
880	0.1323059464
881	0.1322264004
882	0.1321441269
883	0.1320944023
884	0.1320513916
885	0.1318521404
886	0.1317948532
887	0.1317620659
888	0.1316770744
889	0.1315832901
890	0.1314855194
891	0.1314414597
892	0.1313555908
893	0.1313236332
894	0.1312546158
895	0.1311524868
896	0.1310870075
897	0.1309789085
898	0.1309433365
899	0.1308672047
900	0.1307859421
901	0.1307219696
902	0.1306165886
903	0.1305685425
904	0.130517807
905	0.130454874
906	0.1303423309
907	0.1302820873
908	0.1301231003
909	0.1300941467
910	0.1300248528
911	0.1300091743
912	0.1299004173
913	0.1298584557
914	0.1298182869
915	0.1297756672
916	0.1296057034
917	0.1295151901
918	0.1294036007
919	0.1293621826
920	0.1292936611
921	0.1292187881
922	0.1291455078
923	0.1290812683
924	0.1290633869
925	0.1290270996
926	0.1289278126
927	0.1288983345
928	0.1288705063
929	0.1287793922
930	0.1287637329
931	0.1286401653
932	0.1285859108
933	0.1285312271
934	0.1284550571
935	0.1284450245
936	0.1284217262
937	0.128308363
938	0.1282625675
939	0.1282039738
940	0.1281375408
941	0.1280281448
942	0.1280136585
943	0.1278836632
944	0.1278458023
945	0.1277768993
946	0.1276756096
947	0.1275936222
948	0.1275508785
949	0.1275074482
950	0.1274835205
951	0.127432766
952	0.1272989368
953	0.1272572327
954	0.1272119904
955	0.127192955
956	0.1271372414
957	0.1270673561
958	0.1270081234
959	0.1269260979
960	0.1268214035
961	0.1266609001
962	0.126620369
963	0.1265568733
964	0.1264837837
965	0.1264523697
966	0.126398716
967	0.1262948132
968	0.1262790012
969	0.1262379074
970	0.1261032391
971	0.1260357475
972	0.1259935188
973	0.1259457207
974	0.1258411598
975	0.1258274555
976	0.1257901573
977	0.1257451344
978	0.1256597996
979	0.1255990601
980	0.1255613804
981	0.1254951096
982	0.1254611969
983	0.1253796101
984	0.1253724003
985	0.125301857
986	0.1252749062
987	0.1251333809
988	0.1251018715
989	0.1250795841
990	0.125009613
991	0.1249873734
992	0.1249016762
993	0.124859333
994	0.1248054218
995	0.1247445393
996	0.1247129822
997	0.1246621513
998	0.1246155548
999	0.12454422
